key,value,title,screenshot,wip
volunteer_portal.admin.tab.dashboard_thisweek_volunteers,Volunteers,Text title beginning for a number of volunteers registered this week,https://drive.google.com/open?id=1ivyFAFzOoYm_I_DjERnlPTAiZwbEhzkQ,TRUE
volunteer_portal.admin.tab.dashboard_thisweek_registered,registered,Text title continuation for a number of volunteers registered this week,https://drive.google.com/open?id=1ivyFAFzOoYm_I_DjERnlPTAiZwbEhzkQ,TRUE
volunteer_portal.admin.tab.dashboard_thisweek_hours,Hours,Text title beginning for a number of hours commited this week,https://drive.google.com/open?id=19Hbs1543LqKUjjW0YkShYlVGPgL94yd2,TRUE
volunteer_portal.admin.tab.dashboard_thisweek_committed,committed,Text title continuation for a number of hours committed this week,https://drive.google.com/open?id=19Hbs1543LqKUjjW0YkShYlVGPgL94yd2,TRUE
volunteer_portal.admin.tab.dashboard_thisweek_spotsfilled,Spots Filled,Text title a percentage of volunteering spots filled this week,https://drive.google.com/open?id=1Y0TkntLA2PmdlniPcf1vk-mJK6W_lbLL,TRUE
volunteer_portal.admin.tab.dashboard_noeventsthismonth,No Events This Month,Text when there are no events on this month,https://drive.google.com/open?id=1Ss1sH1AbMMWEfwuuwW-U59djPHQzRoT3,TRUE
volunteer_portal.admin.tab.dashboard_thismonth_events,Events,Text title for a list of events this month,https://drive.google.com/open?id=1ErqgKSMqsVyrsDwj_sorGCG5ofdx4iVp,TRUE
volunteer_portal.admin.tab.dashboard_thismonth_volunteers,Volunteers,Text title beginning for a number of volunteers registered this month,https://drive.google.com/open?id=1ivyFAFzOoYm_I_DjERnlPTAiZwbEhzkQ,TRUE
volunteer_portal.admin.tab.dashboard_thismonth_registered,registered,Text title continuation for a number of volunteers registered this month,https://drive.google.com/open?id=1ivyFAFzOoYm_I_DjERnlPTAiZwbEhzkQ,TRUE
volunteer_portal.admin.tab.dashboard_thismonth_hours,Hours,Text title beginning for a number of hours commited this month,https://drive.google.com/open?id=19Hbs1543LqKUjjW0YkShYlVGPgL94yd2,TRUE
volunteer_portal.admin.tab.dashboard_thismonth_committed,committed,Text title continuation for a number of hours committed this month,https://drive.google.com/open?id=19Hbs1543LqKUjjW0YkShYlVGPgL94yd2,TRUE
volunteer_portal.admin.tab.dashboard_thismonth_spotsfilled,Spots Filled,Text title a percentage of volunteering spots filled this month,https://drive.google.com/open?id=1Y0TkntLA2PmdlniPcf1vk-mJK6W_lbLL,TRUE
volunteer_portal.admin.tab.events_addevent,Add Event,Button label to action add an event,https://drive.google.com/open?id=1gVgD847rRwXjXfk778mPTol_J12zE3g1,TRUE
volunteer_portal.admin.tab.events_editevent,Edit,Button label to take you to edit event page,https://drive.google.com/open?id=1xZksLkPfj56nwISFbw-M1OBcwtq9l4bZ,TRUE
